,id,original_title,title,original_language,overview,release_date,popularity,vote_count,vote_average,runtime,adult,genre_names
1,760161,Orphan: First Kill,Orphan: First Kill,en,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",2022-07-27,5088.584,902,6.9,99,FALSE,"Horror, Thriller"
2,760741,Beast,Beast,en,"A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.",2022-08-11,2172.338,584,7.1,93,FALSE,"Adventure, Drama, Horror"
3,882598,Smile,Smile,en,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",2022-09-23,1863.628,114,6.8,115,FALSE,"Horror, Mystery, Thriller"
4,756999,The Black Phone,The Black Phone,en,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",2022-06-22,1071.398,2736,7.9,103,FALSE,"Horror, Thriller"
5,772450,Presencias,Presences,es,"A man who loses his wife and goes to seclude himself in a cabin in the woods, where strange things happen.",2022-09-07,1020.995,83,7,0,FALSE,Horror
6,1014226,Sonríe,Sonríe,es,NA,2022-08-18,939.712,1,1,0,FALSE,"Horror, Thriller"
7,717728,Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,en,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",2022-09-15,821.605,125,5.8,88,FALSE,"Horror, Mystery, Thriller"
8,762504,Nope,Nope,en,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",2022-07-20,733.112,1684,7,130,FALSE,"Horror, Mystery, Science Fiction, Thriller"
9,927341,Hunting Ava Bravo,Hunting Ava Bravo,en,"Billionaire sportsman Buddy King unwinds by hunting human captives on his remote mountain estate. But his latest victim, Ava Bravo is no easy target.",2022-04-01,574.832,73,6.5,90,FALSE,"Action, Adventure, Crime, Drama, Horror, Mystery, Thriller, War"
10,760104,X,X,en,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",2022-03-17,543.67,1035,6.8,106,FALSE,"Horror, Mystery, Thriller"
11,836225,The Exorcism of God,The Exorcism of God,en,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",2022-03-11,537.252,637,7.3,98,FALSE,Horror
12,801071,The Jack in the Box: Awakening,The Jack in the Box: Awakening,en,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.",2022-02-24,527.579,157,6.4,89,FALSE,Horror
13,852830,Torn Hearts,Torn Hearts,en,"A promising up-and-coming country duo seek out the secluded mansion of their idol Harper Dutch, a former country music star and Nashville royalty turned recluse. What starts out as a friendly visit devolves into a twisted series of horrors forcing the friends to confront the lengths they will go to in pursuit of their dreams.",2022-05-20,525.876,39,6.1,97,FALSE,"Horror, Music, Thriller"
14,758724,The Cellar,The Cellar,en,"When Keira Woods' daughter mysteriously vanishes in the cellar of their new house in the country, she soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever.",2022-03-25,513.757,257,6.6,94,FALSE,"Horror, Mystery"
15,816952,My Best Friend's Exorcism,My Best Friend's Exorcism,en,"The year is 1988. Abby and Gretchen have been best friends since fourth grade. After an evening of skinny-dipping goes disastrously wrong, Gretchen begins to act…different, which leads Abby to suspect her best friend may be possessed by a demon. With help from some unlikely allies, Abby embarks on a quest to save Gretchen. But is their friendship powerful enough to beat the devil?",2022-09-29,501.921,43,6.1,96,FALSE,"Comedy, Horror"
16,755566,Day Shift,Day Shift,en,An LA vampire hunter has a week to come up with the cash to pay for his kid's tuition and braces. Trying to make a living these days just might kill him.,2022-08-10,449.683,1129,6.9,113,FALSE,"Action, Comedy, Fantasy, Horror"
17,896448,Beneath the Surface,Beneath the Surface,en,"A young woman survives a great white shark attack, whilst on a family boating vacation, however soon realizes the nightmare is far from over. Those around her can not be trusted, and she must face her demons, if she is to step back in the water.",2022-04-01,412.34,50,6.9,93,FALSE,"Fantasy, Horror, Mystery, Thriller"
18,629015,Shut In,Shut In,en,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,2022-03-24,399.436,224,7.2,90,FALSE,"Horror, Thriller"
19,661791,La abuela,The Grandmother,es,"A Paris model must return to Madrid where her grandmother, who raised her, has had a stroke. But spending just a few days with this relative turns into an unexpected nightmare.",2022-01-28,381.305,272,5.9,100,FALSE,"Drama, Horror"
20,25853,Dahmer,Dahmer,en,"On February 15, 1992 in Milwaukee, Wisconsin, Jeffrey Dahmer, one of the world's most infamous serial killers, was convicted of 15 counts of murder and sentenced to 937 years in federal prison. This movie is based on events from his life.",2002-06-21,378.39,220,5.2,101,FALSE,"Drama, Horror"
21,945657,Titanic 666,Titanic 666,en,"After a mammoth cruise ship sails over the site of the Titanic’s disaster, dark and deadly events start to occur on board. As the ship’s captain investigates the tragic occurrences, it becomes clear that the passengers and crew from the original Titanic have returned.",2022-04-15,372.136,98,6,91,FALSE,"Horror, Thriller"
22,871832,Visitante,Visitor,es,"Marga, who’s in the middle of a marital crisis with her husband Daniel, decides to spend a few days alone in her old, family home. Once there, she starts to sense some strange and terrifying phenomena happening around her: an invisible entity seems to know a lot about her, among other things, that she’s having an affair with Carlos, an old friend from college.  Marga has fallen pregnant by Carlos and on the day she’s going to have a secret abortion, the entity won’t let her leave the house. On the verge of madness, Marga discovers a portal in the house that leads to another reality. In this reality lives her other self and she’s actually trying to warn herself that something terrible is about to happen to her, unless she makes a decision…",2021-02-11,358.179,7,6.1,99,FALSE,Horror
23,610253,Halloween Kills,Halloween Kills,en,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.",2021-10-14,315.027,1941,6.7,105,FALSE,"Horror, Thriller"
24,864370,咒,Incantation,zh,"Inspired by a true story of a family who believed they were possessed by spirits, this film follows a woman who must protect her child from a curse.  WARNING: This is a cursed video, it might contain certain risks to watch. For those who dares to follow, please solve the puzzle of my daughter's curse with me.",2022-03-18,313.282,339,6.9,111,FALSE,Horror
25,756681,Veneciafrenia,Veneciafrenia,es,A group of spanish tourists in Venice finds themselves fighting for their lives against locals that are not too keen on foreigners.,2022-04-22,302.239,133,6.1,100,FALSE,Horror
26,632727,Texas Chainsaw Massacre,Texas Chainsaw Massacre,en,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic influencers who accidentally disrupt his carefully shielded world in a remote Texas town.",2022-02-18,293.443,958,5.3,83,FALSE,"Horror, Thriller"
27,646385,Scream,Scream,en,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",2022-01-12,291.196,1732,6.7,114,FALSE,"Horror, Mystery, Thriller"
28,613093,Malnazidos,Valley of the Dead,es,"During the Spanish Civil War, sworn enemies must work together when they encounter flesh-eating zombies created in a Nazi experiment.",2020-10-08,276.369,201,6.3,101,FALSE,"Comedy, Horror, War"
29,616820,Halloween Ends,Halloween Ends,en,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",2022-10-12,270.269,2,10,111,FALSE,"Horror, Mystery, Thriller"
30,49690,Smile,Smile,it,A carefree summer vacation turns into an inescapable terror trap for a group of young students who buy a vintage instant camera from a mysterious local shop owner...,2009-08-28,266.502,16,3.9,119,FALSE,"Horror, Thriller"
31,21208,Orphan,Orphan,en,"After losing their baby, a married couple adopt 9-year old Esther, who may not be as innocent as she seems.",2009-07-24,265.858,4403,7,123,FALSE,"Horror, Mystery, Thriller"
32,825808,See for Me,See for Me,en,"When blind former skier Sophie cat-sits in a secluded mansion, three thieves invade for the hidden safe. Sophie's only defense is army veteran Kelly, who she meets on the See For Me app. Kelly helps Sophie defend herself against the invaders and survive.",2022-01-07,254.809,110,6.1,92,FALSE,"Crime, Drama, Horror, Mystery, Thriller"
33,831410,Bring It On: Cheer or Die,Bring It On: Cheer or Die,en,"Held down by restrictive rules, an embattled cheerleading squad seeks the freedom of a creepy, closed school gym to practice for regionals, but when members of the squad start to disappear, the cheerleaders must unmask their assailant to save themselves.",2022-09-27,253.614,34,6.2,0,FALSE,"Comedy, Horror, Thriller, TV Movie"
34,833425,No Exit,No Exit,en,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",2022-02-25,252.675,750,7,96,FALSE,"Horror, Mystery, Thriller"
35,816977,They/Them,They/Them,en,Campers at an LGBTQ+ conversion camp endure unsettling psychological techniques while the campsite is stalked by a mysterious killer.,2022-07-24,249.32,105,5.3,101,FALSE,"Horror, Thriller"
36,803114,The Requin,The Requin,en,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",2022-01-28,248.496,191,4.7,89,FALSE,"Horror, Thriller"
37,55341,Jeepers Creepers 3,Jeepers Creepers 3,en,"Taking place on the last day of the Creeper’s twenty-three-day feeding frenzy, as the skeptical Sergeant Tubbs teams up with a task force hellbent on destroying the Creeper for good. The Creeper fights back in gory glory as its enemies grow closer than ever before to learning the secret of its dark origins.",2017-09-26,246.189,692,4.9,100,FALSE,"Horror, Mystery, Thriller"
38,423108,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,en,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",2021-05-25,246.13,4689,7.6,111,FALSE,"Horror, Mystery, Thriller"
39,460458,Resident Evil: Welcome to Raccoon City,Resident Evil: Welcome to Raccoon City,en,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",2021-11-24,245.332,1831,6.1,107,FALSE,"Action, Horror, Science Fiction"
40,960258,Shark Bait,Shark Bait,en,"A group of friends enjoying a weekend steal a couple of jetskis racing them out to sea, ending up in a horrific head-on collision. They struggle to find a way home with a badly injured friend while from the waters below predators lurk.",2022-05-13,242.754,163,6,87,FALSE,"Action, Adventure, Horror, Thriller"
41,639721,The Addams Family 2,The Addams Family 2,en,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,2021-10-01,241.156,953,7.1,93,FALSE,"Adventure, Animation, Comedy, Family, Fantasy, Horror"
42,474350,It Chapter Two,It Chapter Two,en,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",2019-09-04,230.451,7221,6.9,170,FALSE,"Fantasy, Horror"
43,852485,She Will,She Will,en,"Veronica, an aging film star, retreats to the Scottish countryside with her nurse Desi to recover from  a double mastectomy. While there, mysterious forces give Veronica the power to enact revenge within her dreams.",2022-07-15,229.223,24,5.6,95,FALSE,"Drama, Horror, Thriller"
44,895744,Studio 666,Studio 666,en,"Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album. Once in the house, Dave Grohl finds himself grappling with supernatural forces that threaten both the completion of the album and the lives of the band.",2022-02-24,227.919,106,6.3,106,FALSE,"Comedy, Horror, Music"
45,708471,El último zombi,The Last Zombie,es,NA,2021-12-02,226,3,5.7,85,FALSE,Horror
46,869399,La pasajera,The Passenger,es,"Four people traveling in a van run over a lone woman while she is walking in the dark down a country road. After loading her into the vehicle to take her to the nearest hospital, they notice that she is behaving rather strangely. The occupants of the van soon realise that the time has come to fight for their lives, and together they agree on one very simple rule: ""do not sit next to her.""",2022-06-03,220.766,25,6.4,90,FALSE,Horror
47,697799,WarHunt,WarHunt,en,"1945. A U.S. military cargo plane loses control and violently crashes behind enemy lines in the middle of the German black forest. Major Johnson sends a squad of his bravest soldiers on a rescue mission to retrieve the top-secret material the plane was carrying, led by Sergeants Brewer and Walsh. They soon discover hanged Nazi soldiers and other dead bodies bearing ancient, magical symbols. Suddenly their compasses fail, their perceptions twist and straying from the group leads to profound horrors as they are attacked by a powerful, supernatural force.",2022-01-21,215.537,60,5.1,93,FALSE,"Action, Fantasy, Horror, Thriller, War"
48,632357,The Unholy,The Unholy,en,"Alice is young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",2021-03-31,207.113,1737,6.7,99,FALSE,"Horror, Mystery"
49,814800,Goodnight Mommy,Goodnight Mommy,en,"When twin brothers arrive home to find their mother’s demeanor altered and face covered in surgical bandages, they begin to suspect the woman beneath the gauze might not be their mother.",2022-09-16,198.775,159,6.2,91,FALSE,"Drama, Horror, Thriller"
50,893370,Virus :32,Virus:32,es,A virus is unleashed and a chilling massacre runs through the streets of Montevideo.,2022-04-21,198.632,155,7.2,90,FALSE,Horror
51,602223,The Forever Purge,The Forever Purge,en,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,2021-06-30,198.269,1904,7.2,103,FALSE,"Action, Horror, Thriller"
52,482373,Don't Breathe 2,Don't Breathe 2,en,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",2021-08-12,196.003,1847,7.3,98,FALSE,"Horror, Thriller"
53,8922,Jeepers Creepers,Jeepers Creepers,en,A brother and sister driving home through an isolated countryside from college encounter a flesh-eating creature in the midst of its ritualistic eating spree.,2001-07-01,195.983,2395,6.4,90,FALSE,"Horror, Thriller"
54,531219,Roald Dahl's The Witches,Roald Dahl's The Witches,en,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",2020-10-25,192.006,2331,6.4,106,FALSE,"Adventure, Comedy, Family, Fantasy, Horror"
55,820511,Ripper Untold,Ripper Untold,en,A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbors a deadly secret.,2021-06-28,187.478,107,6.2,85,FALSE,Horror
56,982543,V for Vengeance,V for Vengeance,en,"After learning that their younger sibling escaped an earlier kidnapping attempt that also killed their parents, two estranged sisters must join forces to rescue her from a group of bloodthirsty vampires. Out for revenge and control of a vampirism vaccine, Thorn and his band of the undead soon learn that they messed with the wrong family.",2022-06-07,185.965,49,6.8,85,FALSE,"Action, Horror"
57,138843,The Conjuring,The Conjuring,en,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",2013-07-18,173.527,9735,7.5,112,FALSE,"Horror, Thriller"
58,11351,Jeepers Creepers 2,Jeepers Creepers 2,en,"When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive. Staring hungrily at them through the school bus windows, the ""Creeper"" returns again and again. But when the teammates discover that it’s selective about whom it attacks, it will test their ability to stick together – as the insatiable menace tries to tear them apart!",2003-08-08,169.063,1287,6.1,104,FALSE,Horror
59,830788,The Invitation,The Invitation,en,"After the death of her mother, Evie is approached by an unknown cousin who invites her to a lavish wedding in the English countryside. Soon, she realizes a gothic conspiracy is afoot and must fight for survival as she uncovers twisted secrets in her family’s history.",2022-08-24,168.001,176,6.3,105,FALSE,"Horror, Thriller"
60,897424,Dark Cloud,Dark Cloud,en,"Following the aftermath of a horrific accident, a woman is voluntarily subjected to artificial intelligence for rehabilitation.",2022-05-09,167.344,60,6.6,81,FALSE,"Horror, Science Fiction, Thriller"
61,829358,Queen of Spades,Queen of Spades,en,"According to legend, an ominous entity known as the Queen of Spades can be summoned by performing an ancient ritual. Four teenagers summon the Queen of Spades, but they could never imagine the horrors that await them.",2021-06-11,164.687,66,6.6,91,FALSE,Horror
